Date,Open,High,Low,Close,Adj Close,Volume
2019-06-06,748.299988,749.299988,733.900024,738.000000,659.309021,3225967
2019-06-07,738.099976,752.700012,729.400024,750.750000,670.699524,1569343
2019-06-10,755.450012,769.349976,754.049988,768.200012,686.288818,2539412
2019-06-11,770.000000,770.750000,759.250000,762.099976,680.839233,2069998
2019-06-12,762.000000,764.299988,743.299988,747.950012,668.197998,3056823
2019-06-13,744.000000,752.700012,738.500000,744.099976,664.758545,2385606
2019-06-14,744.000000,746.650024,735.299988,740.250000,661.319092,1348083
2019-06-17,740.000000,743.150024,734.049988,736.549988,658.013489,1333739
2019-06-18,737.900024,744.400024,736.049988,741.549988,662.480347,1645116
2019-06-19,742.000000,744.299988,729.549988,735.599976,657.164856,1945921
2019-06-20,722.000000,731.000000,717.849976,725.549988,648.186523,4139025
2019-06-21,729.000000,744.000000,726.500000,740.450012,661.497742,7280809
2019-06-24,738.000000,738.000000,727.000000,728.250000,650.598633,1242655
2019-06-25,727.000000,728.150024,720.000000,724.349976,647.114319,1451025
2019-06-26,721.299988,730.849976,716.400024,718.099976,641.530823,2781711
2019-06-27,715.500000,719.000000,691.650024,701.950012,627.102905,8567309
2019-06-28,706.900024,715.000000,704.099976,706.599976,631.257019,3421172
2019-07-01,709.700012,711.200012,702.349976,704.650024,629.514954,2073961
2019-07-02,702.049988,713.000000,700.250000,711.650024,635.768616,2432132
2019-07-03,713.000000,713.450012,698.500000,701.099976,626.343567,2040614
2019-07-04,701.400024,706.750000,697.000000,700.599976,625.896851,2838357
2019-07-05,700.500000,703.000000,678.299988,681.099976,608.476013,2813644
2019-07-08,680.000000,685.750000,665.500000,680.349976,607.806030,2293102
2019-07-09,681.000000,684.000000,668.599976,675.900024,603.830505,2180104
2019-07-10,671.049988,684.799988,668.000000,674.849976,602.892456,2468773
2019-07-11,676.700012,676.700012,658.400024,665.700012,594.718140,3449721
2019-07-12,665.000000,672.900024,663.000000,665.799988,594.807495,1792810
2019-07-15,675.000000,680.700012,665.849976,677.900024,605.617249,1883164
2019-07-16,680.000000,681.599976,670.500000,675.950012,603.875183,2015642
2019-07-17,675.950012,695.500000,673.049988,690.799988,617.141724,3271680
2019-07-18,687.349976,694.250000,680.099976,687.200012,613.925598,2984256
2019-07-19,687.200012,691.500000,664.400024,675.049988,603.071167,2005513
2019-07-22,671.000000,679.000000,670.000000,671.950012,600.301758,1286218
2019-07-23,673.250000,675.549988,665.750000,671.200012,599.631653,1462269
2019-07-24,670.349976,679.799988,651.450012,660.450012,590.027954,3060459
2019-07-25,647.799988,657.650024,641.500000,652.500000,595.549927,2751865
2019-07-26,649.700012,651.000000,641.049988,643.500000,587.335388,1637706
2019-07-29,641.000000,654.650024,641.000000,646.299988,589.890991,2524484
2019-07-30,645.000000,650.299988,633.150024,640.250000,584.369019,2882913
2019-07-31,629.000000,639.799988,607.150024,636.250000,580.718201,9651731
2019-08-01,632.049988,633.450012,619.000000,625.650024,571.043274,3982949
2019-08-02,625.000000,639.099976,618.400024,636.150024,580.626953,2172845
2019-08-05,631.150024,651.049988,625.299988,648.049988,591.488281,3140140
2019-08-06,650.099976,679.849976,650.099976,670.599976,612.070068,7226321
2019-08-07,671.799988,678.500000,670.299988,674.450012,615.584045,3239880
2019-08-08,674.000000,683.900024,665.000000,680.200012,620.832275,2708834
2019-08-09,679.000000,680.750000,659.750000,663.349976,605.452881,3743407
2019-08-13,661.099976,662.500000,636.000000,639.150024,583.365173,2716622
2019-08-14,639.049988,662.500000,638.900024,659.099976,601.573792,2627043
2019-08-16,656.900024,661.000000,646.150024,659.000000,601.482605,3067796
2019-08-19,662.000000,674.400024,661.500000,670.349976,611.841858,2871173
2019-08-20,674.000000,680.000000,664.650024,668.900024,610.518555,3913608
2019-08-21,670.000000,675.000000,669.299988,672.799988,614.078125,2106655
